文件名,文件头(十六进制)
7000.au,00100919000000000000190091000901
1.au,00000090011900900119090119910000
8000p.au,00001099019001910091910000109099
59.au,00900190010000911991000000199110
transmitter.au,10900000001009190000000911099190
emergency_power.au,00910000100991100900911099010000
modify.au,00000000009110990190010010090000
stall.au,00001009010900000090019001000010
4000p.au,10099191100900000000199100009001
ar.au,00101990000000109910000019001900
18.au,10191919099110190999010990009011
49.au,91109910001019099001901119091919
overspeed.au,00000010090091190000910000100900
200p.au,90010090110991900119001990011900
pound.au,00009091109190110900199100919001
5.au,00000000000009011910091919091199
69.au,90019100919191000119900191190110
38.au,91000000000000190090100000001900
minute.au,91000010000000091190910100011901
100.au,10190900000091901019099101001990
mph.au,10900000001019190010001010190001
tr_connected.au,01090091001900009190100000190009
spooldown.au,00090110190900910000900110090000
input.au,00910090010000091119099191001099
motor_on.au,01090010090000000000001009101909
28.au,00000000009100000001190900910019
lock.au,10090019000000100919000000000000
79.au,00000010090119909119009119009110
5000.au,00000000001990010090110991001090
4.au,19000090011009001910090000900199
condition.au,00900110091099910100000090011900
68.au,00199001001919911009911190100019
engine.au,09019011091919000091109901000091
39.au,00000000100900000091900100911990
1000.au,91000010990100000000109901100990
400p.au,00100900101999010019190000000911
29.au,00009100001991000000009001911991
78.au,00910000900110909119919110999111
master.au,19919100109000000019900100919101
ready.au,90010091009110190900009001100991
0.au,00100900099110199001091099001099
6000p.au,10990119001900009001009191191901
model.au,19109901001009001009019901000010
58.au,90019001199001000000000091109911
point.au,00001900009100000000910011900199
600p.au,91191900101909000109109991100091
min.au,10090000190000000000900100000000
full.au,00100910090000000000190019001900
governor.au,00109000000019190000001900000000
mah.au,00009191000110099101000190010000
3000.au,00009109011919199100000000109901
19.au,00000000090119900091000090019109
48.au,00009100910000911009910010091019
flighttime.au,00909101000000001991000000000000
output.au,00000090010000000000910000001009
36.au,00911900000001099001191009000000
67.au,10090090011910090100001900190110
100p.au,00009001919001001919009100000910
94.au,90019001001009911900900191919000
53.au,00009001000090010091109091109001
caps.au,91009001001991000009019100000000
700.au,00009001101999019100199191109911
choke.au,00000000009010000001090000000000
12.au,00190000910001090000900119100919
43.au,00909111090001901009100900100911
bar_en.au,90011900009100000000900010099000
84.au,00191019190900009010900101199099
4000.au,90910100000019000091910091009191
77.au,90910100000000900119009110990110
26.au,90011009000010190991001009100090
bank3.au,90109119009011090019910091000000
smoke.au,00000000000000900100000001199901
active.au,00001009909101009119009001009119
batt_sp.au,00000000900191001009000019190010
57.au,91190019190010901009109090119010
milliliter_en.au,19901009100009000000000909109900
63.au,10099100000000009191011000091010
volt.au,00001909100000099191911900910091
32.au,00001009100900000010190900100919
6000.au,91100910091900090100199001199091
brake.au,00009100910000000000009119000001
spoolup.au,00001099011900000091190090010109
90.au,00000091190000900119912999109911
feet.au,00000090911000001990910100910000
80.au,90911000000091000000100009009191
300p.au,00191009001919000000109901919110
22.au,00000091009110190900000001190901
73.au,90010000000109900110099110990110
land.au,00909101190000000019191909011900
seconds.au,10190900911019000000010091010001
pl_align.au,90010000190000000109001009009100
power.au,91191900191900910090010091199100
47.au,09019100100900009001190001090090
16.au,90109119000000001909110991909101
border.au,00000000190090100000000000009191
2000p.au,0000001900009001199100a111901199
aerobatics.au,00910000001991911919199091019010
motor_idle.au,00190000910000000091000000001009
700p.au,10900000001009100991190000100991
56.au,10099100009001190019919100000001
62.au,90011901099101900010000091100010
33.au,19000010991199010000909101009010
91.au,91199119911919191900001009190000
81.au,00199100199011099100900110099000
23.au,00911090000119090000101909000019
72.au,91001099019100900119910010099110
46.au,00100900190901000000109911090019
taking.au,00190010901910900000919001000901
17.au,0000190000100910990100000901100a
2000.au,9191001090100990109010a1210a1109
quality.au,01090091000000000000000000919191
3d.au,00009100000000911009100900911900
p100.au,00a1b3023a2b090090c3b393c3a3214b
37.au,00000109001900000000000019000000
ampere.au,19190019000019199091010010900019
66.au,10099001000010199091101991109119
motor_off.au,00199091110009109019009100190000
95.au,00000090010001091900101909109901
ready_for_takeoff.au,00191900900191919110090000009100
52.au,00000000000000910000001090000010
turbine.au,00190010090000001009190010901900
rpm.au,00909191101900000019009000019091
600.au,00000009011090009119190091199001
13.au,00000019900000100991000091911010
42.au,90100000000000000091190091000090
buddy.au,00109901000000000010090000910000
hovering.au,90019101991090010000000000919001
85.au,91000019000901000000901000109009
76.au,00000000000010099110990100909111
bank2.au,91000010090901000000910000911910
27.au,00000000910000009091010000911090
differential.au,19919100009191009190110919000000
500p.au,91001990109001000000100900091199
rescue.au,00009100009110090000100900000010
pump.au,00910010090091091109910010190990
motor.au,91009100910000199001099101901009
900p.au,00001009001900000000190000001991
55.au,00001090900001199011091009000911
minus.au,00000010090000100900911099019011
92.au,19100900001009001009101909190091
30.au,00000090911000000000000001099001
61.au,90019100010910991109011910091019
71.au,00009100900100000010999209919111
20.au,00000000009100910000000000009010
500.au,10090000000000191099100000190090
still.au,00000091911900901109000000000001
82.au,19910000900119009119009100009000
14.au,19009110090091001900090100091000
45.au,10991000190000190010190910090090
pressure_en.au,00001009900100000000010990010090
fps.au,91100900100900199001100990010090
sink.au,00001919000019100900009011099110
meter.au,00900191000109911019099119009011
light.au,90019191009010109901009100000000
landing.au,00009190010090100000190019001900
height.au,91009091010019000000001009009010
glow.au,00009100009001900110900019001019
off.au,00100900000000909111090000009010
log.au,10090000000090010000190000000091
connected.au,00199001190000000000000000000901
rescue_e.au,00911910090000000000009100000091
grad_c.au,00000000100900100910090010900010
bec.au,00000010099001000000910090119010
10000.au,00009119000100090010099191910000
9.au,00009119009191000090019091910100
96.au,00199100919100000090111909900100
ounce.au,91199010001900001009000000001099
65.au,90011009190000910190910191101019
34.au,00910000000091000019000091001990
millibar.au,10091900001900109019900100000000
51.au,00100900100910900090010019000010
41.au,00000000000000009001190001090000
10.au,00000000190000000019100900001919
kmh.au,00100900000001091009910000909191
900.au,90010090110900900191001019999191
bank1.au,09110900000019901091000000919110
24.au,91910000000000000000901010091019
9000p.au,10199000100900919001000910009001
75.au,00090191010900091109000019909111
86.au,90910100911909019100910000009000
watts.au,00000000001009000100000191010110
5000p.au,91001090001900001990010000000199
flow_rate_en.au,00910090010000190000910000009100
error.au,00009001919100190000001990019000
max.au,00000000910000910000919119000091
spotlight.au,00009100000010900000000901910090
8.au,00900100000091000100190019001900
97.au,19100900910091901199100009910191
minutes.au,00010910090109100909199090009900
64.au,91009100000000000190910191199111
35.au,91919001190000910000000000009091
thermal.au,00000090010009910109910190019100
800.au,00000009100901190019000010909100
50.au,00000090019191000000009001901119
40.au,00190000000000000901001900991100
hours.au,00000019100910900119191900111919
11.au,00009001100910091900000001190091
headlight.au,00001900000000100900199191009100
25.au,10091990010010900010901090911900
7000p.au,00190010091910199000000000009092
74.au,00009001000019900110909110099110
backup.au,00000091090100190000009011000900
87.au,00001900009011090000910091000009
unlock.au,00000000000000010009000010090091
half.au,09010000000000001901990100000000
sensor.au,19190010090019910000000000000000
grad_f.au,00910019910000000000100991001000
liter_en.au,00000000900000919100911000191000
phase.au,91000010909109919110000000910010
gps.au,91009011090019100910090109000091
tr_disconnected.au,91100910099100000000900001000000
54.au,00000000911900901199010000000011
93.au,00190000000000191019090000009010
31.au,00190000190000901019090100100900
percent.au,19919191000001090009911109009119
60.au,91901119099100000010191900109110
8000.au,90010109190000000119901090009109
400.au,00000010099101190991000000019901
idle.au,00000000900100009000100000000000
70.au,00000901000010190090910191109129
21.au,00000000000090010000000010900010
83.au,91001900900191001009100990010090
15.au,19000000100919000000191009001009
psi.au,91910000911009100990019091010000
44.au,00901109000019190090911010991000
fuel_en.au,00009190010090011900919001900101
98.au,10090109001900000000000090011900
tr_enabled.au,19000090110900910000009001900119
7.au,00001009000000001990019119911909
temperature.au,91001900911009910001091009190090
3000p.au,00001900009100009119001009000000
ignition.au,91190091000109900010000019000090
rescue_s.au,00100900100900900100009011909001
start.au,00000000000000919001000010090000
88.au,10091910090000190000909101009109
hub.au,90011009000019900100101909001019
3.au,19090119001910990100000000910091
receiver.au,90010090010019000091090119009191
headspeed.au,00009100001009009001910019001009
800p.au,19900119190019009100900100910009
hook.au,91191009191900000000000000001900
300.au,00000000911900190019900100100991
takeoff.au,91000001090000190000001900919001
low_rpm.au,00900191000010990100009001000000
bank.au,19000000909111900090011099119000
current.au,00000000009001900100000010090090
2.au,00100909010010199091910090119901
9000.au,19900100190090019191000000000009
newton.au,10190919001900100900000010091000
clock.au,91190000000000000019000019100900
200.au,00900100901019000000000090119911
gears.au,00000000000000100900910000910001
stop.au,19910000001009900011190900000000
engaged.au,00900100009091010000000090019010
p500.au,00b1b4b3293b1aa1b3b31119b1b4a201
normal.au,90110991001900009119190000001090
1000p.au,00100919001990911199010019190991
99.au,00109000911910099000010001099001
esc.au,00000091000091000000000019000000
6.au,91900100910019000000009011a11090
mps.au,00001900101909901119091099019190
speed.au,00009190011009000000001910090019
used.au,90010010091900919001191009000000
on.au,19000090100019900100009100001009
timer.au,00001900100900000000000019100991
89.au,00000091190000109090010001099109
battery.au,01090000000000001019090091911090
stabilization.au,00009100001009190091100990100000
too_fast.au,00019010091900001009919100190010
flaps.au,19910000001919001009000091191009
climb.au,90010000000000100990010090911109
