序号,文件名,value1,value2(文件大小),value3(累积偏移量),value4,计算出的起点,实际起点,差异
1,batt_alarmb.wav,0,16492,0,1345497601,1544,1544,0
2,batt_alarml.wav,0,43460,16492,3497175553,18036,18036,0
3,batt_on.wav,0,9700,59952,2686233345,61496,61496,0
6,bell.wav,0,66860,74751,2690034433,76295,76295,0
7,gps_lock.wav,0,26730,141611,3764104193,143155,143155,0
8,mistake.wav,0,43528,168341,1623501825,169885,169885,0
9,nav_lock.wav,0,38838,211869,1886301441,213413,213413,0
10,nav_unlock.wav,0,46914,250707,805744129,252251,1040391,-788140
11,screen_lock.wav,0,22094,297621,2159914497,299165,337635,-38470
12,screen_shot.wav,0,16376,319715,3759386369,321259,321259,0
13,screen_unlock.wav,0,22094,336091,3763580673,337635,337635,0
14,stick.wav,0,622,358185,1084927745,359729,360351,-622
15,stick1.wav,0,622,358807,3232542465,360351,360351,0
16,system_alarm.wav,0,7794,359429,1085255425,360973,360973,0
17,system_alarm_batt.wav,0,20114,367223,3234705153,368767,368767,0
18,system_startup.wav,0,223496,387337,278957781,388881,388881,0
19,takeover.wav,0,45674,610833,1612492801,612377,612377,0
20,vbar_connect.wav,0,16776,656507,3771641857,658051,924493,-266442
21,vbar_init_ready.wav,0,37694,673283,1880142081,674827,941269,-266442
22,vbar_sensor_alarm.wav,0,28588,710977,3231953153,712521,712521,0
23,vbar_unconnect.wav,0,14966,739565,2148774401,741109,978963,-237854
24,vbasic_autotrim.wav,0,13622,754531,5157377,756075,910871,-154796
25,vbasic_connect.wav,0,10140,768153,1082372609,769697,769697,0
26,vbasic_unconnect.wav,0,9942,778293,4037718529,779837,779837,0
27,vmulti_connect.wav,0,42902,788235,3503403521,789779,789779,0
28,vmulti_init_ready.wav,0,29080,831137,1887023873,832681,832681,0
29,vmulti_unconnect.wav,0,49110,860217,283882241,861761,861761,0
30,vplane_autotrim.wav,0,13622,909327,4037719041,910871,910871,0
31,vplane_connect.wav,0,16776,922949,820032513,924493,924493,0
32,vplane_init_ready.wav,0,37694,939725,3223434497,941269,941269,0
33,vplane_unconnect.wav,0,14966,977419,280343809,978963,978963,0
34,vsim_connect.wav,0,46462,992385,2431628545,993929,993929,0
35,vsim_unconnect.wav,0,46910,1038847,547730945,1040391,1040391,0
