文件名,偏移量,大小(字节)
batt_alarmb.wav,0,16492
batt_alarml.wav,16492,43460
batt_on.wav,59952,9700
beep_1.au,69652,2190
beep_2.au,71842,2909
bell.wav,74751,66860
gps_lock.wav,141611,26730
mistake.wav,168341,43528
nav_lock.wav,211869,38838
nav_unlock.wav,250707,46914
screen_lock.wav,297621,22094
screen_shot.wav,319715,16376
screen_unlock.wav,336091,22094
stick.wav,358185,622
stick1.wav,358807,622
system_alarm.wav,359429,7794
system_alarm_batt.wav,367223,20114
system_startup.wav,387337,223496
takeover.wav,610833,45674
vbar_connect.wav,656507,16776
vbar_init_ready.wav,673283,37694
vbar_sensor_alarm.wav,710977,28588
vbar_unconnect.wav,739565,14966
vbasic_autotrim.wav,754531,13622
vbasic_connect.wav,768153,10140
vbasic_unconnect.wav,778293,9942
vmulti_connect.wav,788235,42902
vmulti_init_ready.wav,831137,29080
vmulti_unconnect.wav,860217,49110
vplane_autotrim.wav,909327,13622
vplane_connect.wav,922949,16776
vplane_init_ready.wav,939725,37694
vplane_unconnect.wav,977419,14966
vsim_connect.wav,992385,46462
vsim_unconnect.wav,1038847,46910
