文件名,偏移量,大小(字节),标识符
2_batt_alarmb.wav,0,34568,0x50420e02
2_batt_alarml.wav,34568,43930,0x60c90e02
2_batt_off.wav,78498,35726,0x10750f02
2_batt_on.wav,114224,33672,0xb0001002
2_beep_1.au,147896,11541,0x40841002
2_beep_1.wav,159437,46210,0x60b11002
2_beep_2.au,205647,11376,0xf0651102
2_beep_2.wav,217023,45548,0x70921102
2_bell.wav,262571,26864,0x70441202
2_gps_lock.wav,289435,33672,0x70ad1202
2_screen_lock.wav,323107,45488,0x00311302
2_screen_shot.wav,368595,34568,0xc0e21302
2_screen_unlock.wav,403163,32424,0xd0691402
2_stick.wav,435587,21614,0x80e81402
2_stick1.wav,457201,26864,0x003d1502
2_system_alarm.wav,484065,21614,0x00a61502
2_system_alarm_batt.wav,505679,34626,0x80fa1502
2_system_startup.au,540305,15061,0xd0811602
2_system_startup.wav,555366,60290,0xb0bc1602
2_vbar_connect.wav,615656,36066,0x40a81702
2_vbar_init_ready.wav,651722,33706,0x30351802
2_vbar_sensor_alarm.wav,685428,18936,0xf0b81802
2_vbar_unconnect.wav,704364,48060,0xf0021902
2_vbasic_connect.wav,752424,34562,0xc0be1902
2_vbasic_unconnect.wav,786986,50068,0xd0451a02
2_vmulti_connect.wav,837054,29386,0x70091b02
2_vmulti_init_ready.wav,866440,19726,0x507c1b02
2_vmulti_unconnect.wav,886166,36062,0x70c91b02
2_vplane_autotrim.wav,922228,34568,0x60561c02
2_vplane_connect.wav,956796,40620,0x70dd1c02
2_vplane_init_ready.wav,997416,34562,0x307c1d02
2_vplane_unconnect.wav,1031978,44988,0x40031e02
2_vsim_connect.wav,1076966,38838,0x10b31e02
2_vsim_unconnect.wav,1115804,33672,0xd04a1f02
bell.wav,1149476,66860,0x60ce1f02
mistake.wav,1216336,43528,0xa0d32002
nav_lock.wav,1259864,38838,0xb07d2102
nav_unlock.wav,1298702,46914,0x70152202
takeover.wav,1345616,45674,0xc0cc2202
