文件名,偏移量,大小(字节),标识符
logo_400.bmp,0,134454,0x408d4d03
logo_400se.bmp,134454,134454,0x809a4f03
logo_400xx.bmp,268908,134454,0xc0a75103
logo_550.bmp,403362,134454,0x00b55303
logo_550se.bmp,537816,134454,0x40c25503
logo_600se.bmp,672270,134454,0x80cf5703
logo_600sx.bmp,806724,134454,0xc0dc5903
logo_690.bmp,941178,134454,0x00ea5b03
logo_700.bmp,1075632,134454,0x40f75d03
logo_700xx.bmp,1210086,134454,0x80046003
logo_800xx.bmp,1344540,134454,0xc0116203
other.bmp,1478994,134454,0x001f6403
scale.bmp,1613448,134454,0x402c6603
