文件名,偏移量,大小(字节),标识符
flettner.bmp,0,89738,0x50027b01
flettner_b.bmp,89738,89666,0xf0607c01
glogo.bmp,179404,89666,0x40bf7d01
glogo_b.bmp,269070,89666,0x901d7f01
l_scale.bmp,358736,89666,0xe07b8001
l_scale_b.bmp,448402,89666,0x30da8101
logo_200.bmp,538068,89666,0x80388301
logo_200_b.bmp,627734,89666,0xd0968401
logo_200_tr.bmp,717400,89672,0x20f58501
logo_200_tr_b.bmp,807072,89672,0x70538701
logo_400.bmp,896744,89666,0xc0b18801
logo_400_b.bmp,986410,89666,0x10108a01
logo_400se.bmp,1076076,89666,0x606e8b01
logo_400se_b.bmp,1165742,89666,0xb0cc8c01
logo_400xx.bmp,1255408,89666,0x002b8e01
logo_400xx_b.bmp,1345074,89666,0x50898f01
logo_550.bmp,1434740,89666,0xa0e79001
logo_550_b.bmp,1524406,89666,0xf0459201
logo_550se.bmp,1614072,89666,0x40a49301
logo_550se_b.bmp,1703738,89666,0x90029501
logo_550sx.bmp,1793404,89666,0xe0609601
logo_550sx_b.bmp,1883070,89666,0x30bf9701
logo_600se.bmp,1972736,89666,0x801d9901
logo_600se_b.bmp,2062402,89666,0xd07b9a01
logo_600sx.bmp,2152068,89666,0x20da9b01
logo_600sx_b.bmp,2241734,89666,0x70389d01
logo_690.bmp,2331400,89666,0xc0969e01
logo_690_b.bmp,2421066,89666,0x10f59f01
logo_700.bmp,2510732,89666,0x6053a101
logo_700_b.bmp,2600398,89666,0xb0b1a201
logo_700xx.bmp,2690064,89666,0x0010a401
logo_700xx_b.bmp,2779730,89666,0x506ea501
logo_800.bmp,2869396,89666,0xa0cca601
logo_800_b.bmp,2959062,89666,0xf02aa801
logo_800xx.bmp,3048728,89666,0x4089a901
logo_800xx_b.bmp,3138394,89666,0x90e7aa01
other.bmp,3228060,89666,0xe045ac01
other_b.bmp,3317726,89666,0x30a4ad01
tandem.bmp,3407392,89666,0x8002af01
tandem_b.bmp,3497058,89666,0xd060b001
vbar_messages_de.dat,3586724,4389,0x20bfb101
vbar_messages_en.dat,3591113,4160,0x50d0b101
xl_scale.bmp,3595273,89666,0xa0e0b101
xl_scale_b.bmp,3684939,89666,0xf03eb301
xxl_scale.bmp,3774605,89666,0x409db401
xxl_scale_b.bmp,3864271,89666,0x90fbb501
