文件名,偏移量,大小(字节)
logo_400.bmp,0,89666
logo_400_b.bmp,89666,89666
logo_400se.bmp,179332,89666
logo_400se_b.bmp,268998,89666
logo_400xx.bmp,358664,89666
logo_400xx_b.bmp,448330,89666
logo_550.bmp,537996,89666
logo_550_b.bmp,627662,89666
logo_550se.bmp,717328,89666
logo_550se_b.bmp,806994,89666
logo_550sx.bmp,896660,89666
logo_550sx_b.bmp,986326,89666
logo_600se.bmp,1075992,89666
logo_600se_b.bmp,1165658,89666
logo_600sx.bmp,1255324,89666
logo_600sx_b.bmp,1344990,89666
logo_690.bmp,1434656,89666
logo_690_b.bmp,1524322,89666
logo_700.bmp,1613988,89666
logo_700_b.bmp,1703654,89666
logo_700xx.bmp,1793320,89666
logo_700xx_b.bmp,1882986,89666
logo_800xx.bmp,1972652,89666
logo_800xx_b.bmp,2062318,89666
other.bmp,2151984,89666
other_b.bmp,2241650,89666
scale.bmp,2331316,89666
scale_b.bmp,2420982,89666
vbar_messages_de.dat,2510648,3583
vbar_messages_en.dat,2514231,3367
