文件名,偏移量,大小(字节),标识符
vbasic10.bmp,0,89666,0x50528f00
vbasic10_b.bmp,89666,89666,0xa0b09000
vbasic21.bmp,179332,89666,0xf00e9200
vbasic21_b.bmp,268998,89666,0x406d9300
vbasic22.bmp,358664,89666,0x90cb9400
vbasic22_b.bmp,448330,89666,0xe0299600
vbasic23.bmp,537996,89666,0x30889700
vbasic23_b.bmp,627662,89666,0x80e69800
vbasic24.bmp,717328,89666,0xd0449a00
vbasic24_b.bmp,806994,89666,0x20a39b00
vbasic25.bmp,896660,89666,0x70019d00
vbasic25_b.bmp,986326,89666,0xc05f9e00
vbasic30.bmp,1075992,89666,0x10be9f00
vbasic30_b.bmp,1165658,89666,0x601ca100
vbasic40.bmp,1255324,89666,0xb07aa200
vbasic40_b.bmp,1344990,89666,0x00d9a300
vbasic80.bmp,1434656,89666,0x5037a500
vbasic80_b.bmp,1524322,89666,0xa095a600
vbasic_messages_de.dat,1613988,4389,0xf0f3a700
vbasic_messages_en.dat,1618377,4160,0x2005a800
