文件名,偏移量,大小(字节),标识符
0.au,0,4137,0x5042cd00
1.au,4137,2694,0x9052cd00
10.au,6831,2510,0x205dcd00
100.au,9341,6203,0x0067cd00
1000.au,15544,8001,0x507fcd00
10000.au,23545,7540,0xa09ecd00
1000p.au,31085,7560,0x20bccd00
100p.au,38645,5762,0xb0d9cd00
11.au,44407,4024,0x40f0cd00
12.au,48431,3419,0x0000ce00
13.au,51850,3821,0x700dce00
14.au,55671,4767,0x701cce00
15.au,60438,4382,0x202fce00
16.au,64820,5452,0x5040ce00
17.au,70272,6149,0xb055ce00
18.au,76421,4546,0xc06dce00
19.au,80967,4254,0x907fce00
2.au,85221,2227,0x4090ce00
20.au,87448,3387,0x0099ce00
200.au,90835,6512,0x50a6ce00
2000.au,97347,6478,0xd0bfce00
2000p.au,103825,6037,0x30d9ce00
200p.au,109862,6071,0xd0f0ce00
21.au,115933,5430,0x9008cf00
22.au,121363,5743,0xd01dcf00
23.au,127106,6291,0x5034cf00
24.au,133397,6127,0xf04ccf00
25.au,139524,7348,0xf064cf00
26.au,146872,6647,0xb081cf00
27.au,153519,7142,0xb09bcf00
28.au,160661,5306,0xa0b7cf00
29.au,165967,6410,0x70cccf00
3.au,172377,2547,0x90e5cf00
30.au,174924,3920,0x90efcf00
300.au,178844,6996,0xf0fecf00
3000.au,185840,7397,0x501ad000
3000p.au,193237,6956,0x4037d000
300p.au,200193,6555,0x8052d000
31.au,206748,5362,0x306cd000
32.au,212110,5869,0x3081d000
33.au,217979,6479,0x3098d000
34.au,224458,6344,0x90b1d000
35.au,230802,7205,0x60cad000
36.au,238007,6746,0x90e6d000
37.au,244753,7408,0x0001d100
38.au,252161,5139,0x001ed100
39.au,257300,6386,0x2032d100
3d.au,263686,6463,0x204bd100
4.au,270149,2675,0x7064d100
40.au,272824,3686,0xf06ed100
400.au,276510,6759,0x607dd100
4000.au,283269,6754,0xd097d100
4000p.au,290023,6313,0x40b2d100
400p.au,296336,6318,0x00cbd100
41.au,302654,5777,0xc0e3d100
42.au,308431,5757,0x60fad100
43.au,314188,6556,0xf010d200
44.au,320744,6055,0xa02ad200
45.au,326799,6724,0x5042d200
46.au,333523,6569,0xa05cd200
47.au,340092,7101,0x6076d200
48.au,347193,5211,0x3092d200
49.au,352404,6454,0xa0a6d200
5.au,358858,3742,0xe0bfd200
50.au,362600,3823,0x90ced200
500.au,366423,6949,0x90ddd200
5000.au,373372,7550,0xc0f8d200
5000p.au,380922,7109,0x5016d300
500p.au,388031,6508,0x2032d300
51.au,394539,5594,0xa04bd300
52.au,400133,5673,0x9061d300
53.au,405806,6582,0xd077d300
54.au,412388,6322,0x9091d300
55.au,418710,6875,0x50aad300
56.au,425585,6659,0x40c5d300
57.au,432244,7424,0x50dfd300
58.au,439668,5042,0x60fcd300
59.au,444710,6482,0x2010d400
6.au,451192,3090,0x8029d400
