文件名,偏移量,大小(字节),标识符
0.au,0,3892,0x50b29300
1.au,3892,3210,0x90c19300
10.au,7102,3203,0x30ce9300
100.au,10305,6359,0xc0da9300
1000.au,16664,7431,0xa0f39300
10000.au,24095,6796,0xb0109400
1000p.au,30891,6990,0x502b9400
100p.au,37881,5807,0xb0469400
11.au,43688,4556,0x705d9400
12.au,48244,3702,0x506f9400
13.au,51946,5996,0xd07d9400
14.au,57942,6650,0x50959400
15.au,64592,5377,0x60af9400
16.au,69969,6068,0x70c49400
17.au,76037,7118,0x30dc9400
18.au,83155,4766,0x10f89400
19.au,87921,6673,0xc00a9500
2.au,94594,2496,0xe0249500
20.au,97090,3895,0xb02e9500
200.au,100985,6676,0xf03d9500
2000.au,107661,6949,0x10589500
2000p.au,114610,6508,0x40739500
200p.au,121118,6124,0xc08c9500
21.au,127242,6515,0xc0a49500
22.au,133757,6281,0x40be9500
23.au,140038,7660,0xe0d69500
24.au,147698,6995,0xe0f49500
25.au,154693,7129,0x40109600
26.au,161822,6909,0x302c9600
27.au,168731,7366,0x40479600
28.au,176097,5809,0x10649600
29.au,181906,6930,0xd07a9600
3.au,188836,3198,0xf0959600
30.au,192034,3234,0x80a29600
300.au,195268,5602,0x30af9600
3000.au,200870,7933,0x20c59600
3000p.au,208803,7492,0x30e49600
300p.au,216295,5161,0x80019700
31.au,221456,5478,0xc0159700
32.au,226934,5897,0x302b9700
33.au,232831,6678,0x50429700
34.au,239509,6014,0x705c9700
35.au,245523,7149,0x00749700
36.au,252672,6359,0x00909700
37.au,259031,7099,0xe0a89700
38.au,266130,5269,0xb0c49700
39.au,271399,5202,0x50d99700
3d.au,276601,7963,0xb0ed9700
4.au,284564,3581,0xe00c9800
40.au,288145,3175,0xf01a9800
400.au,291320,5522,0x60279800
4000.au,296842,7341,0x003d9800
4000p.au,304183,6900,0xc0599800
400p.au,311083,4970,0xc0749800
41.au,316053,5224,0x40889800
42.au,321277,5026,0xb09c9800
43.au,326303,6398,0x60b09800
44.au,332701,5248,0x70c99800
45.au,337949,6309,0x00de9800
46.au,344258,6055,0xb0f69800
47.au,350313,6029,0x600e9900
48.au,356342,4328,0x00269900
49.au,360670,5595,0xf0369900
5.au,366265,3736,0xe04c9900
50.au,370001,3644,0x805b9900
500.au,373645,6877,0xd0699900
5000.au,380522,8444,0xc0849900
5000p.au,388966,8003,0xd0a59900
500p.au,396969,6325,0x20c59900
51.au,403294,6972,0xe0dd9900
52.au,410266,6796,0x30f99900
53.au,417062,7558,0xd0139a00
54.au,424620,7312,0x60319a00
55.au,431932,7640,0x004e9a00
56.au,439572,7703,0xe06b9a00
57.au,447275,8182,0x008a9a00
58.au,455457,5526,0x00aa9a00
59.au,460983,7150,0xa0bf9a00
6.au,468133,3801,0xa0db9a00
60.au,471934,5178,0x90ea9a00
600.au,477112,7158,0xe0fe9a00
6000.au,484270,8342,0xe01a9b00
6000p.au,492612,7901,0x803b9b00
600p.au,500513,6606,0x705a9b00
61.au,507119,7114,0x50749b00
62.au,514233,7179,0x30909b00
63.au,521412,7712,0x50ac9b00
64.au,529124,6329,0x80ca9b00
65.au,535453,7211,0x50e39b00
66.au,542664,7069,0x90ff9b00
67.au,549733,7817,0x401b9c00
68.au,557550,6373,0xe0399c00
69.au,563923,6946,0xd0529c00
7.au,570869,3955,0x006e9c00
70.au,574824,3561,0x807d9c00
700.au,578385,7428,0x808b9c00
7000.au,585813,9861,0x90a89c00
7000p.au,595674,9420,0x20cf9c00
700p.au,605094,6876,0x00f49c00
71.au,611970,7356,0xf00e9d00
72.au,619326,7021,0xc02b9d00
73.au,626347,8200,0x40479d00
74.au,634547,7265,0x50679d00
75.au,641812,7749,0xc0839d00
76.au,649561,7639,0x10a29d00
77.au,657200,8263,0xf0bf9d00
78.au,665463,6297,0x40e09d00
79.au,671760,6282,0xf0f89d00
8.au,678042,6197,0x90119e00
80.au,684239,7747,0xd0299e00
800.au,691986,5340,0x20489e00
8000.au,697326,7336,0x105d9e00
8000p.au,704662,6895,0xc0799e00
800p.au,711557,4789,0xc0949e00
81.au,716346,6003,0x80a79e00
82.au,722349,6153,0x00bf9e00
83.au,728502,5942,0x20d79e00
84.au,734444,5448,0x60ee9e00
85.au,739892,6315,0xb0039f00
86.au,746207,6200,0x701c9f00
87.au,752407,6530,0xb0349f00
88.au,758937,4846,0x404e9f00
89.au,763783,4488,0x40619f00
9.au,768271,3365,0xd0729f00
90.au,771636,2852,0x00809f00
900.au,774488,6809,0x308b9f00
9000.au,781297,7002,0xe0a59f00
9000p.au,788299,6560,0x50c19f00
900p.au,794859,6258,0x00db9f00
91.au,801117,5759,0x80f39f00
92.au,806876,5954,0x100aa000
93.au,812830,7080,0x6021a000
94.au,819910,6362,0x103da000
95.au,826272,7518,0x0056a000
96.au,833790,7005,0x7073a000
97.au,840795,7743,0xe08ea000
98.au,848538,5250,0x30ada000
99.au,853788,5106,0xc0c1a000
active.au,858894,5556,0xc0d5a000
aerobatics.au,864450,8768,0x80eba000
ampere.au,873218,8563,0xd00da100
ar.au,881781,11283,0x502fa100
backup.au,893064,5841,0x705ba100
bank.au,898905,5409,0x5072a100
bank1.au,904314,9045,0x8087a100
bank2.au,913359,7562,0xe0aaa100
bank3.au,920921,7707,0x80c8a100
bar_en.au,928628,6817,0xb0e6a100
batt_sp.au,935445,10219,0x6001a200
battery.au,945664,4595,0x6029a200
bec.au,950259,11201,0x603ba200
border.au,961460,8793,0x3067a200
brake.au,970253,5168,0xa089a200
buddy.au,975421,4236,0xe09da200
caps.au,979657,5106,0x80aea200
choke.au,984763,4167,0x80c2a200
climb.au,988930,5995,0xd0d2a200
clock.au,994925,5163,0x50eaa200
condition.au,1000088,6617,0x90fea200
connected.au,1006705,7087,0x8018a300
current.au,1013792,4052,0x4034a300
differential.au,1017844,8851,0x2044a300
emergency_power.au,1026695,12239,0xc066a300
engaged.au,1038934,5952,0xa096a300
engine.au,1044886,5081,0xf0ada300
error.au,1049967,4095,0xe0c1a300
esc.au,1054062,10404,0xf0d1a300
feet.au,1064466,4905,0xa0faa300
flaps.au,1069371,7796,0xe00da400
flighttime.au,1077167,9145,0x602ca400
flow_rate_en.au,1086312,7707,0x3050a400
fps.au,1094019,11399,0x606ea400
fuel_en.au,1105418,3928,0xf09aa400
full.au,1109346,5163,0x50aaa400
gears.au,1114509,6157,0x90bea400
glow.au,1120666,5077,0xb0d6a400
governor.au,1125743,4348,0x90eaa400
gps.au,1130091,13328,0xa0fba400
grad_c.au,1143419,14185,0xc02fa500
grad_f.au,1157604,14041,0x4067a500
half.au,1171645,4028,0x309ea500
headlight.au,1175673,6509,0x00aea500
headspeed.au,1182182,6270,0x80c7a500
height.au,1188452,5117,0x10e0a500
hook.au,1193569,3026,0x20f4a500
hours.au,1196595,8810,0x0000a600
hovering.au,1205405,6221,0x8022a600
hub.au,1211626,3829,0xe03aa600
idle.au,1215455,4854,0xe049a600
ignition.au,1220309,6256,0xe05ca600
input.au,1226565,5720,0x6075a600
kmh.au,1232285,15844,0xc08ba600
land.au,1248129,5874,0xb0c9a600
landing.au,1254003,5771,0xb0e0a600
light.au,1259774,5039,0x50f7a600
liter_en.au,1264813,6733,0x100ba700
lock.au,1271546,4549,0x7025a700
log.au,1276095,3288,0x4037a700
low_rpm.au,1279383,10710,0x2044a700
mah.au,1290093,15289,0x006ea700
master.au,1305382,6144,0xd0a9a700
max.au,1311526,6964,0xe0c1a700
meter.au,1318490,4191,0x20dda700
millibar.au,1322681,7485,0x90eda700
milliliter_en.au,1330166,10276,0xe00aa800
min.au,1340442,5393,0x1033a800
minus.au,1345835,4115,0x3048a800
minute.au,1349950,6099,0x5058a800
minutes.au,1356049,7378,0x3070a800
model.au,1363427,5039,0x108da800
modify.au,1368466,7373,0xd0a0a800
motor.au,1375839,4902,0xb0bda800
motor_idle.au,1380741,8877,0xe0d0a800
motor_off.au,1389618,8037,0xa0f3a800
motor_on.au,1397655,8274,0x1013a900
mph.au,1405929,13080,0x7033a900
mps.au,1419009,11549,0x9066a900
newton.au,1430558,4963,0xc093a900
normal.au,1435521,5936,0x30a7a900
off.au,1441457,2569,0x70bea900
on.au,1444026,4776,0x90c8a900
ounce.au,1448802,7247,0x40dba900
output.au,1456049,5840,0xa0f7a900
overspeed.au,1461889,8664,0x800eaa00
p100.au,1470553,1102,0x6030aa00
p500.au,1471655,5512,0xc034aa00
percent.au,1477167,7900,0x504aaa00
pl_align.au,1485067,12223,0x4069aa00
point.au,1497290,2715,0x1099aa00
pound.au,1500005,5331,0xc0a3aa00
power.au,1505336,4102,0xa0b8aa00
pressure_en.au,1509438,4435,0xb0c8aa00
psi.au,1513873,11503,0x10daaa00
pump.au,1525376,3320,0x1007ab00
quality.au,1528696,7160,0x1014ab00
ready.au,1535856,4622,0x1030ab00
ready_for_takeoff.au,1540478,13217,0x3042ab00
receiver.au,1553695,5611,0xe075ab00
rescue.au,1559306,6840,0xe08bab00
rescue_e.au,1566146,8806,0xa0a6ab00
rescue_s.au,1574952,10466,0x10c9ab00
rpm.au,1585418,16234,0x00f2ab00
seconds.au,1601652,9617,0x8031ac00
sensor.au,1611269,7275,0x2057ac00
sink.au,1618544,5232,0xa073ac00
smoke.au,1623776,5569,0x2088ac00
speed.au,1629345,4433,0xf09dac00
spooldown.au,1633778,9009,0x50afac00
spoolup.au,1642787,8537,0x90d2ac00
spotlight.au,1651324,7924,0x00f4ac00
stabilization.au,1659248,11548,0x0013ad00
stall.au,1670796,6148,0x3040ad00
start.au,1676944,6292,0x4058ad00
still.au,1683236,3696,0xe070ad00
stop.au,1686932,5801,0x607fad00
takeoff.au,1692733,8205,0x2096ad00
taking.au,1700938,9413,0x40b6ad00
temperature.au,1710351,5942,0x10dbad00
thermal.au,1716293,5075,0x50f2ad00
timer.au,1721368,4776,0x3006ae00
too_fast.au,1726144,8396,0xe018ae00
tr_connected.au,1734540,12568,0xc039ae00
tr_disconnected.au,1747108,13304,0xe06aae00
tr_enabled.au,1760412,11382,0xe09eae00
transmitter.au,1771794,7717,0x60cbae00
turbine.au,1779511,6887,0x90e9ae00
unlock.au,1786398,6508,0x8004af00
used.au,1792906,4111,0x001eaf00
volt.au,1797017,7489,0x202eaf00
watts.au,1804506,8280,0x704baf00
