文件名,偏移量,大小(字节),标识符
plane10.bmp,0,89738,0x50928a00
plane10_b.bmp,89738,89666,0xf0f08b00
plane11.bmp,179404,89738,0x404f8d00
plane11_b.bmp,269142,89666,0xe0ad8e00
plane15.bmp,358808,89738,0x300c9000
plane15_b.bmp,448546,89666,0xd06a9100
plane20.bmp,538212,89666,0x20c99200
plane20_b.bmp,627878,89666,0x70279400
plane25.bmp,717544,89666,0xc0859500
plane25_b.bmp,807210,89666,0x10e49600
plane30.bmp,896876,89738,0x60429800
plane30_b.bmp,986614,89666,0x00a19900
plane35.bmp,1076280,89666,0x50ff9a00
plane35_b.bmp,1165946,89666,0xa05d9c00
vplane_messages_de.dat,1255612,3655,0xf0bb9d00
vplane_messages_en.dat,1259267,3365,0x40ca9d00
