文件名,偏移量,大小(字节),标识符
plane10.bmp,0,89738,0x50824b01
plane10_b.bmp,89738,89666,0xf0e04c01
plane11.bmp,179404,89738,0x403f4e01
plane11_b.bmp,269142,89666,0xe09d4f01
plane15.bmp,358808,89738,0x30fc5001
plane15_b.bmp,448546,89666,0xd05a5201
plane20.bmp,538212,89666,0x20b95301
plane20_b.bmp,627878,89666,0x70175501
plane25.bmp,717544,89666,0xc0755601
plane25_b.bmp,807210,89666,0x10d45701
plane30.bmp,896876,89738,0x60325901
plane30_b.bmp,986614,89666,0x00915a01
plane35.bmp,1076280,89666,0x50ef5b01
plane35_b.bmp,1165946,89666,0xa04d5d01
vplane_messages_de.dat,1255612,4389,0xf0ab5e01
vplane_messages_en.dat,1260001,4160,0x20bd5e01
